id_documento,id_siniestro,tipo_documento,entregado,legible,inconsistencia_detectada,adulteracion_confirmada,archivo_pdf,fecha_emision,observacion
DOC-0001,SIN-0001,Fotografías del daño,False,False,False,False,,2025-07-01,Documento no entregado
DOC-0002,SIN-0001,Denuncia policial,False,False,False,False,,2025-06-28,Documento no entregado
DOC-0003,SIN-0001,Factura de reparación,False,False,False,False,,2025-06-26,Documento no entregado
DOC-0004,SIN-0002,Fotografías,False,False,False,False,,2024-08-19,Documento no entregado
DOC-0005,SIN-0002,Informe técnico,False,False,False,False,,2024-08-21,Documento no entregado
DOC-0006,SIN-0003,Peritaje,False,False,False,False,,2025-01-12,Documento no entregado
DOC-0007,SIN-0003,Fotografías del daño,False,False,True,True,,2025-01-09,Documento no entregado
DOC-0008,SIN-0003,Denuncia policial,False,False,False,False,,2025-01-10,Documento no entregado
DOC-0009,SIN-0004,Factura de reparación,False,False,True,True,,2024-10-15,Documento no entregado
DOC-0010,SIN-0004,Peritaje,False,False,False,False,,2024-10-18,Documento no entregado
DOC-0011,SIN-0004,Fotografías del daño,False,False,False,False,,2024-10-17,Documento no entregado
DOC-0012,SIN-0005,Parte Policial,True,True,False,False,PP_SIN-0005_DOC-0012.pdf,2024-12-26,Sin observaciones
DOC-0013,SIN-0005,Fotografías del daño,False,False,False,False,,2024-12-24,Documento no entregado
DOC-0014,SIN-0005,Factura de reparación,False,False,False,False,,2024-12-30,Documento no entregado
DOC-0015,SIN-0006,Parte policial,False,False,False,False,,2025-02-16,Documento no entregado
DOC-0016,SIN-0006,Denuncia policial,False,False,False,False,,2025-02-16,Documento no entregado
DOC-0017,SIN-0006,Peritaje,False,False,False,False,,2025-02-20,Documento no entregado
DOC-0018,SIN-0007,Factura de reparación,False,False,False,False,,2025-02-26,Documento no entregado
DOC-0019,SIN-0007,Denuncia policial,False,False,False,False,,2025-02-25,Documento no entregado
DOC-0020,SIN-0008,Peritaje,False,False,False,False,,2025-09-25,Documento no entregado
DOC-0021,SIN-0008,Parte policial,False,False,False,False,,2025-09-26,Documento no entregado
DOC-0022,SIN-0009,Fotografías del daño,False,False,False,False,,2024-06-27,Documento no entregado
DOC-0023,SIN-0009,Peritaje,False,False,False,False,,2024-06-27,Documento no entregado
DOC-0024,SIN-0009,Factura de reparación,False,False,True,False,,2024-06-25,Documento no entregado
DOC-0025,SIN-0010,Peritaje,False,False,False,False,,2024-07-31,Documento no entregado
DOC-0026,SIN-0010,Parte policial,False,False,False,False,,2024-07-29,Documento no entregado
DOC-0027,SIN-0011,Denuncia policial,False,False,False,False,,2024-04-29,Documento no entregado
DOC-0028,SIN-0011,Informe técnico,False,False,False,False,,2024-04-26,Documento no entregado
DOC-0029,SIN-0012,Informe técnico,False,False,False,False,,2024-09-16,Documento no entregado
DOC-0030,SIN-0012,Factura de reparación,False,False,False,False,,2024-09-22,Documento no entregado
DOC-0031,SIN-0013,Peritaje,False,False,False,False,,2024-09-07,Documento no entregado
DOC-0032,SIN-0013,Factura de reparación,False,False,False,False,,2024-09-07,Documento no entregado
DOC-0033,SIN-0014,Denuncia policial,False,False,False,False,,2025-02-01,Documento no entregado
DOC-0034,SIN-0014,Fotografías del daño,False,False,False,False,,2025-02-01,Documento no entregado
DOC-0035,SIN-0015,Factura hospitalaria,False,False,True,False,,2024-10-10,Documento no entregado
DOC-0036,SIN-0015,Orden médica,False,False,False,False,,2024-10-08,Documento no entregado
DOC-0037,SIN-0016,Denuncia policial,False,False,False,False,,2025-02-24,Documento no entregado
DOC-0038,SIN-0016,Factura de reparación,False,False,True,False,,2025-02-21,Documento no entregado
DOC-0039,SIN-0016,Fotografías del daño,False,False,False,False,,2025-02-19,Documento no entregado
DOC-0040,SIN-0017,Denuncia policial,False,False,False,False,,2024-07-19,Documento no entregado
DOC-0041,SIN-0017,Factura de reparación,False,False,False,False,,2024-07-18,Documento no entregado
DOC-0042,SIN-0017,Informe técnico,False,False,False,False,,2024-07-17,Documento no entregado
DOC-0043,SIN-0018,Denuncia policial,False,False,False,False,,2024-12-03,Documento no entregado
DOC-0044,SIN-0018,Parte policial,False,False,False,False,,2024-12-07,Documento no entregado
DOC-0045,SIN-0018,Factura de reparación,False,False,False,False,,2024-12-06,Documento no entregado
DOC-0046,SIN-0019,Parte policial,False,False,False,False,,2025-03-05,Documento no entregado
