id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,suma_asegurada,ciudad
POL-0001,ASEG-0010,Vehiculos,2024-08-10,2025-08-10,20000,Quito
POL-0002,ASEG-0171,Hogar,2024-06-09,2025-06-09,40000,Riobamba
POL-0003,ASEG-0158,Vehiculos,2024-07-26,2025-07-26,28000,Ambato
POL-0004,ASEG-0169,Vehiculos,2024-09-20,2025-09-20,30000,Loja
POL-0005,ASEG-0103,Vehiculos,2024-12-01,2025-12-01,8000,Riobamba
POL-0006,ASEG-0194,Vehiculos,2025-01-03,2026-01-03,28000,Cuenca
POL-0007,ASEG-0061,Vehiculos,2024-06-12,2025-06-12,28000,Loja
POL-0008,ASEG-0100,Vehiculos,2025-01-26,2026-01-26,30000,Cuenca
POL-0009,ASEG-0125,Vehiculos,2024-06-21,2025-06-21,22000,Loja
POL-0010,ASEG-0084,Vehiculos,2024-05-22,2025-05-22,22000,Riobamba
POL-0011,ASEG-0160,Hogar,2024-03-05,2025-03-05,30000,Quito
POL-0012,ASEG-0080,Hogar,2024-07-22,2025-07-22,40000,Cuenca
POL-0013,ASEG-0018,Vehiculos,2024-01-07,2025-01-06,22000,Portoviejo
POL-0014,ASEG-0083,Vehiculos,2024-05-22,2025-05-22,25000,Riobamba
POL-0015,ASEG-0143,Salud,2024-04-07,2025-04-07,20000,Riobamba
POL-0016,ASEG-0079,Vehiculos,2024-07-07,2025-07-07,25000,Guayaquil
POL-0017,ASEG-0050,Hogar,2024-05-21,2025-05-21,40000,Loja
POL-0018,ASEG-0179,Vehiculos,2024-02-22,2025-02-21,8000,Riobamba
POL-0019,ASEG-0039,Vehiculos,2024-06-04,2025-06-04,10000,Ambato
POL-0020,ASEG-0146,Vehiculos,2024-11-08,2025-11-08,10000,Riobamba
POL-0021,ASEG-0075,Salud,2024-05-27,2025-05-27,80000,Portoviejo
POL-0022,ASEG-0037,Vehiculos,2024-03-25,2025-03-25,18000,Loja
POL-0023,ASEG-0007,Vehiculos,2024-12-11,2025-12-11,30000,Manta
POL-0024,ASEG-0024,Hogar,2024-07-28,2025-07-28,25000,Ambato
POL-0025,ASEG-0083,Vehiculos,2024-09-20,2025-09-20,8000,Riobamba
POL-0026,ASEG-0113,Salud,2024-01-15,2025-01-14,80000,Guayaquil
POL-0027,ASEG-0184,Vehiculos,2024-12-27,2025-12-27,18000,Riobamba
POL-0028,ASEG-0130,Vehiculos,2024-05-24,2025-05-24,18000,Ambato
POL-0029,ASEG-0147,Vehiculos,2025-02-01,2026-02-01,22000,Loja
POL-0030,ASEG-0004,Vehiculos,2024-07-28,2025-07-28,12000,Ibarra
POL-0031,ASEG-0139,Vehiculos,2024-02-05,2025-02-04,15000,Cuenca
POL-0032,ASEG-0111,Vehiculos,2024-09-28,2025-09-28,22000,Portoviejo
POL-0033,ASEG-0118,Vehiculos,2024-08-26,2025-08-26,18000,Manta
POL-0034,ASEG-0028,Vehiculos,2024-10-19,2025-10-19,20000,Loja
POL-0035,ASEG-0156,Vehiculos,2024-11-21,2025-11-21,15000,Riobamba
POL-0036,ASEG-0024,Vehiculos,2025-01-17,2026-01-17,22000,Ambato
POL-0037,ASEG-0120,Hogar,2025-01-21,2026-01-21,20000,Esmeraldas
POL-0038,ASEG-0028,Vehiculos,2024-08-29,2025-08-29,8000,Loja
POL-0039,ASEG-0100,Vehiculos,2024-12-09,2025-12-09,28000,Cuenca
POL-0040,ASEG-0061,Vehiculos,2024-12-17,2025-12-17,20000,Loja
POL-0041,ASEG-0033,Hogar,2024-02-05,2025-02-04,50000,Riobamba
POL-0042,ASEG-0029,Vehiculos,2024-03-08,2025-03-08,8000,Manta
POL-0043,ASEG-0116,Vehiculos,2024-11-10,2025-11-10,8000,Portoviejo
POL-0044,ASEG-0017,Vehiculos,2024-11-15,2025-11-15,30000,Manta
POL-0045,ASEG-0087,Hogar,2024-07-31,2025-07-31,40000,Ambato
POL-0046,ASEG-0034,Vehiculos,2024-10-27,2025-10-27,28000,Riobamba
POL-0047,ASEG-0028,Vehiculos,2024-07-07,2025-07-07,10000,Loja
POL-0048,ASEG-0180,Vehiculos,2024-06-28,2025-06-28,8000,Esmeraldas
POL-0049,ASEG-0041,Vehiculos,2025-01-04,2026-01-04,20000,Cuenca
POL-0050,ASEG-0070,Vehiculos,2024-02-28,2025-02-27,20000,Esmeraldas
POL-0051,ASEG-0196,Vehiculos,2024-06-16,2025-06-16,10000,Ibarra
POL-0052,ASEG-0005,Vehiculos,2024-06-09,2025-06-09,30000,Guayaquil
POL-0053,ASEG-0063,Salud,2024-07-24,2025-07-24,60000,Ibarra
POL-0054,ASEG-0066,Vehiculos,2024-11-04,2025-11-04,12000,Riobamba
POL-0055,ASEG-0039,Vehiculos,2024-08-28,2025-08-28,25000,Ambato
POL-0056,ASEG-0119,Vehiculos,2025-01-13,2026-01-13,8000,Manta
POL-0057,ASEG-0113,Vehiculos,2024-11-08,2025-11-08,12000,Guayaquil
POL-0058,ASEG-0021,Vehiculos,2024-06-28,2025-06-28,18000,Manta
POL-0059,ASEG-0131,Vehiculos,2024-07-04,2025-07-04,18000,Ibarra
POL-0060,ASEG-0153,Hogar,2024-03-24,2025-03-24,20000,Esmeraldas
POL-0061,ASEG-0137,Vehiculos,2024-08-28,2025-08-28,15000,Ibarra
POL-0062,ASEG-0073,Hogar,2024-05-19,2025-05-19,30000,Quito
POL-0063,ASEG-0061,Vehiculos,2024-07-10,2025-07-10,15000,Loja
POL-0064,ASEG-0039,Vehiculos,2024-09-27,2025-09-27,22000,Ambato
POL-0065,ASEG-0162,Vehiculos,2024-05-03,2025-05-03,12000,Portoviejo
POL-0066,ASEG-0100,Vehiculos,2024-11-21,2025-11-21,22000,Cuenca
POL-0067,ASEG-0165,Vehiculos,2024-12-22,2025-12-22,25000,Ibarra
POL-0068,ASEG-0065,Vehiculos,2024-05-26,2025-05-26,20000,Portoviejo
POL-0069,ASEG-0095,Hogar,2024-02-12,2025-02-11,40000,Ibarra
POL-0070,ASEG-0115,Salud,2024-11-10,2025-11-10,50000,Cuenca
POL-0071,ASEG-0009,Vehiculos,2024-04-30,2025-04-30,20000,Ibarra
POL-0072,ASEG-0064,Salud,2025-01-11,2026-01-11,30000,Guayaquil
POL-0073,ASEG-0116,Vehiculos,2024-02-14,2025-02-13,20000,Portoviejo
POL-0074,ASEG-0093,Vehiculos,2024-07-07,2025-07-07,25000,Ambato
POL-0075,ASEG-0116,Hogar,2024-06-25,2025-06-25,20000,Portoviejo
POL-0076,ASEG-0182,Hogar,2024-09-22,2025-09-22,25000,Manta
POL-0077,ASEG-0145,Vehiculos,2024-02-11,2025-02-10,8000,Quito
POL-0078,ASEG-0063,Vehiculos,2024-06-01,2025-06-01,25000,Ibarra
POL-0079,ASEG-0132,Vehiculos,2024-06-12,2025-06-12,15000,Portoviejo
POL-0080,ASEG-0049,Vehiculos,2024-09-20,2025-09-20,25000,Loja
POL-0081,ASEG-0153,Vehiculos,2024-05-26,2025-05-26,28000,Esmeraldas
POL-0082,ASEG-0099,Vehiculos,2025-01-26,2026-01-26,28000,Manta
POL-0083,ASEG-0012,Salud,2024-12-31,2025-12-31,40000,Quito
POL-0084,ASEG-0130,Vehiculos,2024-09-07,2025-09-07,30000,Ambato
POL-0085,ASEG-0038,Hogar,2024-10-20,2025-10-20,40000,Quito
POL-0086,ASEG-0144,Hogar,2024-09-26,2025-09-26,30000,Guayaquil
POL-0087,ASEG-0143,Vehiculos,2024-06-01,2025-06-01,18000,Riobamba
POL-0088,ASEG-0198,Vehiculos,2024-01-22,2025-01-21,18000,Cuenca
POL-0089,ASEG-0063,Hogar,2024-04-25,2025-04-25,40000,Ibarra
POL-0090,ASEG-0167,Vehiculos,2024-06-13,2025-06-13,18000,Manta
POL-0091,ASEG-0048,Vehiculos,2024-01-20,2025-01-19,8000,Ibarra
POL-0092,ASEG-0042,Vehiculos,2024-11-27,2025-11-27,18000,Ibarra
POL-0093,ASEG-0103,Vehiculos,2024-04-04,2025-04-04,12000,Riobamba
POL-0094,ASEG-0171,Vehiculos,2024-06-06,2025-06-06,12000,Riobamba
POL-0095,ASEG-0192,Vehiculos,2024-07-31,2025-07-31,28000,Cuenca
POL-0096,ASEG-0147,Vehiculos,2024-03-25,2025-03-25,20000,Loja
POL-0097,ASEG-0145,Vehiculos,2024-08-24,2025-08-24,18000,Quito
POL-0098,ASEG-0105,Hogar,2025-01-27,2026-01-27,40000,Portoviejo
POL-0099,ASEG-0046,Hogar,2024-09-27,2025-09-27,20000,Loja
POL-0100,ASEG-0040,Vehiculos,2025-01-06,2026-01-06,10000,Cuenca
POL-0101,ASEG-0113,Vehiculos,2024-04-21,2025-04-21,8000,Guayaquil
POL-0102,ASEG-0143,Hogar,2024-06-25,2025-06-25,40000,Riobamba
