id_vehiculo,id_poliza,placa,marca,modelo,anio
MNT-7384,POL-0001,MNT-7384,,,
CHB-4472,POL-0003,CHB-4472,,,
RIO-2918,POL-0004,RIO-2918,,,
AZY-7734,POL-0005,AZY-7734,,,
MNT-7384,POL-0006,MNT-7384,,,
GYE-8371,POL-0007,GYE-8371,,,
GYE-8371,POL-0008,GYE-8371,,,
CHB-4472,POL-0009,CHB-4472,,,
GYE-4837,POL-0010,GYE-4837,,,
LOJ-1847,POL-0013,LOJ-1847,,,
AZY-8812,POL-0014,AZY-8812,,,
AZY-2918,POL-0016,AZY-2918,,,
PDO-1029,POL-0018,PDO-1029,,,
PIC-9182,POL-0019,PIC-9182,,,
AZY-6647,POL-0020,AZY-6647,,,
PIC-7293,POL-0022,PIC-7293,,,
PIC-2847,POL-0023,PIC-2847,,,
TNB-4918,POL-0025,TNB-4918,,,
CHB-5523,POL-0027,CHB-5523,,,
PIC-1234,POL-0028,PIC-1234,,,
TNB-1029,POL-0029,TNB-1029,,,
MNT-7384,POL-0030,MNT-7384,,,
CHB-9918,POL-0031,CHB-9918,,,
LOJ-8834,POL-0032,LOJ-8834,,,
MNT-5834,POL-0033,MNT-5834,,,
CHB-5523,POL-0034,CHB-5523,,,
SDO-1847,POL-0035,SDO-1847,,,
CHB-5523,POL-0036,CHB-5523,,,
GYE-1029,POL-0038,GYE-1029,,,
MNT-7384,POL-0039,MNT-7384,,,
GYE-1847,POL-0040,GYE-1847,,,
IBR-1029,POL-0042,IBR-1029,,,
IBR-1029,POL-0043,IBR-1029,,,
ESM-1234,POL-0044,ESM-1234,,,
IBR-3847,POL-0046,IBR-3847,,,
TNB-1029,POL-0047,TNB-1029,,,
PIC-3847,POL-0048,PIC-3847,,,
SDO-1847,POL-0049,SDO-1847,,,
TNB-0192,POL-0050,TNB-0192,,,
ESM-1234,POL-0051,ESM-1234,,,
IBR-7291,POL-0052,IBR-7291,,,
PDO-1029,POL-0054,PDO-1029,,,
TNB-0192,POL-0055,TNB-0192,,,
GYE-7384,POL-0056,GYE-7384,,,
ESM-1234,POL-0057,ESM-1234,,,
CHB-9918,POL-0058,CHB-9918,,,
