id_asegurado,segmento,antiguedad_meses,ciudad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado,lista_restrictiva
ASE00001,Individual,6,Quito,2,0,False,727,False
ASE00002,Pyme,26,Portoviejo,3,3,True,727,False
ASE00003,Individual,131,Manta,4,0,False,781,False
ASE00004,Individual,60,Portoviejo,1,0,False,561,False
ASE00005,Individual,70,Manta,1,1,True,693,False
ASE00006,Pyme,63,Cuenca,3,1,False,714,False
ASE00007,Corporativo,39,Portoviejo,3,0,False,790,False
ASE00008,Individual,7,Cuenca,2,0,False,834,False
ASE00009,Pyme,50,Guayaquil,3,1,False,553,False
ASE00010,Individual,130,Ambato,1,2,False,710,False
ASE00011,VIP,110,Manta,2,0,False,644,False
ASE00012,Corporativo,41,Guayaquil,4,0,False,605,False
ASE00013,Pyme,13,Loja,1,0,False,696,False
ASE00014,Pyme,87,Guayaquil,3,2,False,802,False
ASE00015,Individual,98,Cuenca,2,0,False,565,False
ASE00016,Pyme,37,Santo Domingo,2,0,False,673,False
ASE00017,Individual,81,Cuenca,1,2,False,734,False
ASE00018,Individual,84,Ambato,3,2,False,584,False
ASE00019,Individual,50,Ambato,3,0,False,708,False
ASE00020,Individual,122,Portoviejo,1,0,False,585,False
ASE00021,Individual,118,Portoviejo,3,0,False,679,False
ASE00022,Individual,26,Loja,3,0,False,657,False
ASE00023,Pyme,18,Cuenca,4,0,False,782,False
ASE00024,Individual,61,Cuenca,2,1,False,731,False
ASE00025,Individual,77,Quito,4,0,False,629,False
ASE00026,Individual,76,Ambato,1,0,False,652,False
ASE00027,Individual,62,Quito,1,0,False,572,False
ASE00028,Individual,15,Portoviejo,4,2,False,725,False
ASE00029,Individual,66,Santo Domingo,4,1,False,473,False
ASE00030,Individual,86,Cuenca,4,1,False,752,False
ASE00031,Individual,123,Guayaquil,4,0,False,579,False
ASE00032,Corporativo,143,Cuenca,2,0,False,597,False
ASE00033,Pyme,46,Ambato,3,0,False,687,False
ASE00034,Individual,116,Manta,2,0,False,642,False
ASE00035,Individual,7,Cuenca,4,0,False,582,False
ASE00036,VIP,75,Guayaquil,1,0,False,649,False
ASE00037,Individual,57,Quito,1,0,True,793,False
ASE00038,Individual,30,Ambato,2,0,False,627,False
ASE00039,Corporativo,51,Manta,4,0,True,524,False
ASE00040,Individual,16,Santo Domingo,3,0,False,790,False
ASE00041,Pyme,61,Guayaquil,1,0,False,569,False
ASE00042,Individual,126,Santo Domingo,2,1,False,620,False
ASE00043,Individual,2,Quito,2,0,False,747,False
ASE00044,Pyme,106,Portoviejo,4,1,False,683,False
ASE00045,Individual,71,Loja,1,0,False,702,False
ASE00046,Individual,110,Quito,3,1,False,682,False
ASE00047,Individual,73,Cuenca,2,1,False,619,False
ASE00048,Individual,67,Guayaquil,4,0,True,725,False
ASE00049,Pyme,39,Portoviejo,1,0,False,668,False
ASE00050,Individual,7,Portoviejo,4,1,False,533,False
ASE00051,Pyme,87,Manta,3,0,False,704,False
ASE00052,Individual,82,Quito,3,0,False,642,False
ASE00053,Individual,69,Guayaquil,2,1,False,725,False
ASE00054,Individual,73,Cuenca,1,3,False,677,False
ASE00055,Individual,10,Guayaquil,2,0,False,570,False
ASE00056,Pyme,7,Ambato,3,0,False,557,False
ASE00057,Individual,120,Portoviejo,3,0,False,724,False
ASE00058,Individual,56,Guayaquil,2,0,True,608,False
ASE00059,Individual,57,Cuenca,1,1,False,584,False
ASE00060,Pyme,93,Portoviejo,3,0,False,654,False
ASE00061,Individual,90,Loja,4,0,False,714,False
ASE00062,Individual,20,Ambato,2,0,False,719,False
ASE00063,Individual,73,Santo Domingo,1,0,False,627,False
ASE00064,Individual,39,Guayaquil,1,0,False,653,False
ASE00065,Corporativo,71,Portoviejo,1,0,False,835,False
ASE00066,VIP,33,Portoviejo,2,0,False,555,False
ASE00067,Individual,97,Guayaquil,3,0,False,589,False
ASE00068,Individual,106,Ambato,1,0,False,674,False
ASE00069,Pyme,54,Cuenca,2,1,False,735,False
ASE00070,Individual,56,Manta,4,0,False,632,False
ASE00071,Individual,60,Quito,2,0,False,660,False
ASE00072,Individual,92,Cuenca,2,0,False,785,False
ASE00073,Pyme,34,Guayaquil,2,1,False,704,False
ASE00074,VIP,58,Quito,1,0,True,752,False
ASE00075,Corporativo,96,Cuenca,2,1,False,519,False
ASE00076,Pyme,62,Santo Domingo,2,0,False,583,False
ASE00077,Individual,79,Guayaquil,1,2,False,729,False
ASE00078,VIP,18,Manta,3,0,False,845,False
ASE00079,Individual,112,Portoviejo,1,0,True,762,False
ASE00080,Individual,62,Quito,4,0,True,840,False
ASE00081,Individual,13,Loja,2,0,False,660,False
ASE00082,Pyme,143,Guayaquil,2,0,False,766,False
ASE00083,Individual,52,Quito,1,1,False,602,False
ASE00084,Individual,108,Quito,2,0,False,621,False
ASE00085,Individual,84,Portoviejo,1,1,False,687,False
ASE00086,Individual,100,Loja,1,0,False,785,False
ASE00087,Individual,54,Portoviejo,1,0,False,641,False
ASE00088,Individual,116,Quito,4,0,False,683,False
ASE00089,Individual,137,Guayaquil,1,0,False,771,False
ASE00090,Corporativo,10,Ambato,1,0,False,565,False
ASE00091,Corporativo,135,Santo Domingo,3,0,False,787,False
ASE00092,Individual,115,Santo Domingo,1,0,False,769,False
ASE00093,VIP,17,Santo Domingo,4,0,True,690,False
ASE00094,Pyme,114,Manta,1,0,False,851,False
ASE00095,Pyme,15,Santo Domingo,4,0,False,596,False
ASE00096,Pyme,95,Portoviejo,3,0,False,688,False
ASE00097,Individual,29,Santo Domingo,4,3,False,760,False
ASE00098,Corporativo,131,Quito,2,0,False,709,False
ASE00099,Individual,56,Cuenca,4,0,False,579,False
ASE00100,Individual,10,Quito,4,0,True,632,False
ASE00101,Pyme,135,Portoviejo,4,0,False,558,False
ASE00102,Individual,13,Manta,4,0,False,767,False
ASE00103,Individual,134,Portoviejo,4,0,False,778,False
ASE00104,Individual,132,Ambato,4,0,False,590,False
ASE00105,Pyme,17,Manta,2,1,False,731,False
ASE00106,Individual,59,Manta,1,1,False,510,False
ASE00107,Individual,23,Loja,2,0,False,560,False
ASE00108,Corporativo,136,Loja,3,1,False,669,False
ASE00109,Pyme,29,Portoviejo,2,0,False,641,False
ASE00110,Individual,69,Ambato,4,0,False,622,False
ASE00111,Pyme,126,Santo Domingo,4,1,False,681,False
ASE00112,Individual,63,Portoviejo,4,0,False,563,False
ASE00113,Pyme,121,Guayaquil,2,1,False,582,False
ASE00114,Individual,116,Manta,1,0,False,741,False
ASE00115,Individual,60,Santo Domingo,4,1,False,549,False
ASE00116,Individual,67,Portoviejo,1,0,False,877,False
ASE00117,Individual,56,Santo Domingo,4,2,False,610,False
ASE00118,Individual,26,Manta,3,1,False,643,False
ASE00119,Individual,92,Ambato,3,0,False,670,False
ASE00120,Individual,62,Manta,1,1,False,732,False
ASE00121,Pyme,105,Quito,1,0,False,602,False
ASE00122,Corporativo,30,Cuenca,1,0,False,527,False
ASE00123,Individual,60,Quito,2,0,False,626,False
ASE00124,Individual,130,Quito,1,0,False,758,False
ASE00125,Individual,138,Quito,3,0,False,653,False
ASE00126,Individual,122,Santo Domingo,2,0,False,680,False
ASE00127,Pyme,91,Ambato,1,0,False,702,False
ASE00128,Pyme,18,Guayaquil,3,0,False,689,False
ASE00129,Individual,72,Guayaquil,4,0,False,643,False
ASE00130,Individual,50,Guayaquil,1,0,False,782,False
ASE00131,VIP,29,Quito,3,0,False,606,False
