id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,adulteracion_confirmada,observacion
DOC000001,SIN00001,denuncia,True,True,2026-01-08,False,False,
DOC000002,SIN00001,factura_taller,True,True,2026-01-08,False,False,
DOC000003,SIN00001,fotos,True,True,2026-01-08,False,False,
DOC000004,SIN00001,informe_perito,True,True,2026-01-08,False,False,
DOC000005,SIN00002,denuncia,True,True,2025-05-14,False,False,
DOC000006,SIN00002,factura_taller,True,True,2025-05-14,False,False,
DOC000007,SIN00002,fotos,True,True,2025-05-14,False,False,
DOC000008,SIN00002,informe_perito,True,True,2025-05-14,False,False,
DOC000009,SIN00003,denuncia,False,True,2025-01-23,False,False,
DOC000010,SIN00003,factura_taller,False,True,2025-01-23,True,True,Alteracion simulada para demo
DOC000011,SIN00003,fotos,True,True,2025-01-23,True,False,
DOC000012,SIN00003,informe_perito,True,True,2025-01-23,False,False,
DOC000013,SIN00004,denuncia,True,True,2025-09-01,False,False,
DOC000014,SIN00004,factura_taller,True,True,2025-09-01,False,False,
DOC000015,SIN00004,fotos,True,True,2025-09-01,False,False,
DOC000016,SIN00004,informe_perito,True,True,2025-09-01,False,False,
DOC000017,SIN00005,denuncia,True,True,2025-11-13,False,False,
DOC000018,SIN00005,factura_taller,True,True,2025-11-13,False,False,
DOC000019,SIN00005,fotos,True,True,2025-11-13,False,False,
DOC000020,SIN00005,informe_perito,True,True,2025-11-13,False,False,
DOC000021,SIN00006,denuncia,True,True,2025-06-26,False,False,
DOC000022,SIN00006,factura_taller,True,True,2025-06-26,False,False,
DOC000023,SIN00006,fotos,True,True,2025-06-26,False,False,
DOC000024,SIN00006,informe_perito,True,True,2025-06-26,False,False,
DOC000025,SIN00007,denuncia,True,True,2024-07-31,False,False,
DOC000026,SIN00007,factura_taller,True,True,2024-07-31,False,False,
DOC000027,SIN00007,fotos,True,True,2024-07-31,False,False,
DOC000028,SIN00007,informe_perito,True,True,2024-07-31,False,False,
DOC000029,SIN00008,denuncia,True,True,2025-02-22,False,False,
DOC000030,SIN00008,factura_taller,False,True,2025-02-22,True,False,
DOC000031,SIN00008,fotos,True,True,2025-02-22,False,False,
DOC000032,SIN00008,informe_perito,True,True,2025-02-22,False,False,
DOC000033,SIN00009,denuncia,True,True,2025-08-11,False,False,
DOC000034,SIN00009,factura_taller,True,True,2025-08-11,False,False,
DOC000035,SIN00009,fotos,True,True,2025-08-11,False,False,
DOC000036,SIN00009,informe_perito,True,True,2025-08-11,False,False,
DOC000037,SIN00010,denuncia,True,True,2025-05-13,False,False,
DOC000038,SIN00010,factura_taller,True,True,2025-05-13,False,False,
DOC000039,SIN00010,fotos,True,True,2025-05-13,False,False,
DOC000040,SIN00010,informe_perito,True,True,2025-05-13,False,False,
DOC000041,SIN00011,denuncia,True,True,2024-10-13,False,False,
DOC000042,SIN00011,factura_taller,True,True,2024-10-13,False,False,
DOC000043,SIN00011,fotos,True,True,2024-10-13,True,False,
DOC000044,SIN00011,informe_perito,True,True,2024-10-13,False,False,
DOC000045,SIN00012,denuncia,True,True,2025-10-27,False,False,
DOC000046,SIN00012,factura_taller,True,True,2025-10-27,False,False,
DOC000047,SIN00012,fotos,True,True,2025-10-27,False,False,
DOC000048,SIN00012,informe_perito,True,True,2025-10-27,False,False,
DOC000049,SIN00013,denuncia,True,True,2026-04-15,False,False,
DOC000050,SIN00013,factura_taller,True,True,2026-04-15,False,False,
DOC000051,SIN00013,fotos,True,True,2026-04-15,False,False,
DOC000052,SIN00013,informe_perito,True,True,2026-04-15,False,False,
DOC000053,SIN00014,denuncia,True,True,2025-11-27,False,False,
DOC000054,SIN00014,factura_taller,True,True,2025-11-27,False,False,
DOC000055,SIN00014,fotos,True,True,2025-11-27,False,False,
DOC000056,SIN00014,informe_perito,True,True,2025-11-27,False,False,
DOC000057,SIN00015,denuncia,True,True,2025-08-18,False,False,
DOC000058,SIN00015,factura_taller,True,True,2025-08-18,False,False,
DOC000059,SIN00015,fotos,True,True,2025-08-18,False,False,
DOC000060,SIN00015,informe_perito,True,True,2025-08-18,False,False,
DOC000061,SIN00016,denuncia,True,True,2025-03-11,False,False,
DOC000062,SIN00016,factura_taller,True,True,2025-03-11,False,False,
DOC000063,SIN00016,fotos,True,True,2025-03-11,False,False,
DOC000064,SIN00016,informe_perito,True,True,2025-03-11,True,False,
DOC000065,SIN00017,denuncia,True,True,2024-07-04,False,False,
DOC000066,SIN00017,factura_taller,True,True,2024-07-04,False,False,
DOC000067,SIN00017,fotos,True,True,2024-07-04,False,False,
DOC000068,SIN00017,informe_perito,True,True,2024-07-04,False,False,
DOC000069,SIN00018,denuncia,True,True,2026-01-02,False,False,
DOC000070,SIN00018,factura_taller,True,True,2026-01-02,False,False,
DOC000071,SIN00018,fotos,True,True,2026-01-02,False,False,
DOC000072,SIN00018,informe_perito,True,True,2026-01-02,False,False,
DOC000073,SIN00019,denuncia,True,True,2025-07-26,False,False,
DOC000074,SIN00019,factura_taller,True,True,2025-07-26,False,False,
DOC000075,SIN00019,fotos,False,True,2025-07-26,False,False,
DOC000076,SIN00019,informe_perito,True,True,2025-07-26,False,False,
DOC000077,SIN00020,denuncia,True,True,2025-06-09,True,False,
DOC000078,SIN00020,factura_taller,True,True,2025-06-09,False,False,
DOC000079,SIN00020,fotos,True,True,2025-06-09,False,False,
DOC000080,SIN00020,informe_perito,True,True,2025-06-09,False,False,
DOC000081,SIN00021,denuncia,True,True,2024-03-28,False,False,
DOC000082,SIN00021,factura_taller,True,True,2024-03-28,False,False,
DOC000083,SIN00021,fotos,True,True,2024-03-28,False,False,
DOC000084,SIN00021,informe_perito,True,True,2024-03-28,False,False,
DOC000085,SIN00022,denuncia,True,True,2025-01-17,False,False,
DOC000086,SIN00022,factura_taller,True,True,2025-01-17,False,False,
DOC000087,SIN00022,fotos,True,True,2025-01-17,False,False,
DOC000088,SIN00022,informe_perito,True,True,2025-01-17,False,False,
DOC000089,SIN00023,denuncia,True,True,2025-07-27,False,False,
DOC000090,SIN00023,factura_taller,True,True,2025-07-27,False,False,
DOC000091,SIN00023,fotos,True,True,2025-07-27,False,False,
DOC000092,SIN00023,informe_perito,True,True,2025-07-27,False,False,
DOC000093,SIN00024,denuncia,True,True,2025-09-10,False,False,
DOC000094,SIN00024,factura_taller,True,True,2025-09-10,False,False,
DOC000095,SIN00024,fotos,True,True,2025-09-10,False,False,
DOC000096,SIN00024,informe_perito,True,True,2025-09-10,False,False,
DOC000097,SIN00025,denuncia,True,True,2024-12-09,False,False,
DOC000098,SIN00025,factura_taller,True,True,2024-12-09,False,False,
DOC000099,SIN00025,fotos,True,True,2024-12-09,False,False,
DOC000100,SIN00025,informe_perito,True,True,2024-12-09,True,False,
DOC000101,SIN00026,denuncia,False,True,2025-02-12,False,False,
DOC000102,SIN00026,factura_taller,True,True,2025-02-12,False,False,
DOC000103,SIN00026,fotos,True,True,2025-02-12,False,False,
DOC000104,SIN00026,informe_perito,True,True,2025-02-12,False,False,
DOC000105,SIN00027,denuncia,True,True,2024-06-23,False,False,
DOC000106,SIN00027,factura_taller,True,True,2024-06-23,False,False,
DOC000107,SIN00027,fotos,True,True,2024-06-23,False,False,
DOC000108,SIN00027,informe_perito,True,True,2024-06-23,False,False,
DOC000109,SIN00028,denuncia,True,True,2025-04-04,False,False,
DOC000110,SIN00028,factura_taller,True,True,2025-04-04,False,False,
DOC000111,SIN00028,fotos,True,True,2025-04-04,False,False,
DOC000112,SIN00028,informe_perito,True,True,2025-04-04,False,False,
DOC000113,SIN00029,denuncia,True,True,2026-03-16,False,False,
DOC000114,SIN00029,factura_taller,True,True,2026-03-16,False,False,
DOC000115,SIN00029,fotos,True,True,2026-03-16,False,False,
DOC000116,SIN00029,informe_perito,True,True,2026-03-16,False,False,
DOC000117,SIN00030,denuncia,True,True,2026-02-16,False,False,
DOC000118,SIN00030,factura_taller,True,True,2026-02-16,False,False,
DOC000119,SIN00030,fotos,True,True,2026-02-16,False,False,
DOC000120,SIN00030,informe_perito,True,True,2026-02-16,False,False,
DOC000121,SIN00031,denuncia,True,True,2024-01-18,False,False,
DOC000122,SIN00031,factura_taller,False,True,2024-01-18,False,False,
DOC000123,SIN00031,fotos,True,True,2024-01-18,True,False,
DOC000124,SIN00031,informe_perito,True,True,2024-01-18,False,False,
DOC000125,SIN00032,denuncia,True,True,2025-07-26,False,False,
DOC000126,SIN00032,factura_taller,True,True,2025-07-26,False,False,
DOC000127,SIN00032,fotos,True,True,2025-07-26,False,False,
DOC000128,SIN00032,informe_perito,True,True,2025-07-26,False,False,
DOC000129,SIN00033,denuncia,True,True,2025-02-14,False,False,
DOC000130,SIN00033,factura_taller,True,True,2025-02-14,False,False,
DOC000131,SIN00033,fotos,True,True,2025-02-14,False,False,
DOC000132,SIN00033,informe_perito,True,True,2025-02-14,False,False,
DOC000133,SIN00034,denuncia,True,True,2025-10-15,False,False,
DOC000134,SIN00034,factura_taller,True,True,2025-10-15,False,False,
DOC000135,SIN00034,fotos,True,True,2025-10-15,False,False,
DOC000136,SIN00034,informe_perito,True,True,2025-10-15,False,False,
DOC000137,SIN00035,denuncia,True,True,2024-04-09,False,False,
DOC000138,SIN00035,factura_taller,True,True,2024-04-09,False,False,
DOC000139,SIN00035,fotos,True,True,2024-04-09,False,False,
DOC000140,SIN00035,informe_perito,True,True,2024-04-09,False,False,
