id_proveedor,nombre,tipo,ramo,ciudad,antiguedad_meses,hotspot_demo,lista_restrictiva,reclamos_asociados,monto_promedio_reclamado,porcentaje_casos_observados
PRV0001,Taller VEH 01,Taller,Vehiculos,Manta,50,True,True,82,22026.8,70.73
PRV0002,Taller VEH 02,Taller,Vehiculos,Ambato,8,True,False,59,16656.75,61.02
PRV0003,Taller VEH 03,Taller,Vehiculos,Loja,44,True,False,60,15804.76,66.67
PRV0004,Taller VEH 04,Taller,Vehiculos,Santo Domingo,102,True,False,53,17938.51,73.58
PRV0005,Taller VEH 05,Taller,Vehiculos,Guayaquil,165,False,False,27,12296.62,14.81
PRV0006,Taller VEH 06,Taller,Vehiculos,Quito,161,False,False,19,11424.77,5.26
PRV0007,Taller VEH 07,Taller,Vehiculos,Santo Domingo,138,False,False,32,10654.96,12.5
PRV0008,Taller VEH 08,Taller,Vehiculos,Ambato,104,False,False,25,8591.71,12.0
PRV0009,Taller VEH 09,Taller,Vehiculos,Loja,45,False,False,22,11105.75,18.18
PRV0010,Taller VEH 10,Taller,Vehiculos,Quito,58,False,False,19,12706.29,31.58
PRV0011,Taller VEH 11,Taller,Vehiculos,Cuenca,161,False,False,18,7715.31,0.0
PRV0012,Taller VEH 12,Taller,Vehiculos,Manta,95,False,False,15,11058.6,13.33
PRV0013,Taller VEH 13,Taller,Vehiculos,Santo Domingo,136,False,False,13,8338.49,23.08
PRV0014,Taller VEH 14,Taller,Vehiculos,Santo Domingo,129,False,False,13,14137.05,23.08
PRV0015,Taller VEH 15,Taller,Vehiculos,Loja,48,False,False,16,7817.99,0.0
PRV0016,Taller VEH 16,Taller,Vehiculos,Santo Domingo,29,False,False,23,9464.85,13.04
PRV0017,Taller VEH 17,Taller,Vehiculos,Santo Domingo,130,False,False,24,8986.39,8.33
PRV0018,Taller VEH 18,Taller,Vehiculos,Guayaquil,16,False,False,25,10839.31,12.0
PRV0019,Taller VEH 19,Taller,Vehiculos,Portoviejo,74,False,False,23,8669.27,8.7
PRV0020,Taller VEH 20,Taller,Vehiculos,Santo Domingo,4,False,False,11,10268.0,18.18
PRV0021,Taller VEH 21,Taller,Vehiculos,Portoviejo,136,False,False,23,11918.24,17.39
PRV0022,Taller VEH 22,Taller,Vehiculos,Quito,47,False,False,14,11626.7,35.71
PRV0023,Taller VEH 23,Taller,Vehiculos,Ambato,54,False,False,21,7985.77,14.29
PRV0024,Taller VEH 24,Taller,Vehiculos,Quito,115,False,False,12,8012.37,0.0
PRV0025,Taller VEH 25,Taller,Vehiculos,Ambato,174,False,False,23,11963.91,13.04
PRV0026,Taller VEH 26,Taller,Vehiculos,Santo Domingo,4,False,False,22,8228.16,9.09
