id_vehiculo,id_poliza,placa,chasis,motor,marca,modelo,anio
VEH00001,POL00001,EC5286,CHS2793011011,MTR871654342,Mazda,SUV,2023
VEH00002,POL00002,EC6119,CHS1426445667,MTR120956546,Kia,Sedan,2025
VEH00003,POL00003,EC7640,CHS5637437114,MTR871452124,Hyundai,SUV,2015
VEH00004,POL00004,EC6832,CHS3173964917,MTR292751289,Chevrolet,Pickup,2019
VEH00005,POL00005,EC3019,CHS7159847527,MTR717803606,Chevrolet,Van,2015
VEH00006,POL00006,EC3176,CHS5266728757,MTR368387873,Mazda,Pickup,2016
VEH00007,POL00007,EC2778,CHS9969933522,MTR871149909,Kia,Pickup,2024
VEH00008,POL00008,EC6907,CHS6786010295,MTR814077266,Mazda,Sedan,2016
VEH00009,POL00009,EC1136,CHS9116709765,MTR277581472,Mazda,Pickup,2020
VEH00010,POL00010,EC9733,CHS2258299238,MTR279979803,Nissan,SUV,2014
VEH00011,POL00011,EC9968,CHS5071622635,MTR190175608,Mazda,Sedan,2014
VEH00012,POL00012,EC9105,CHS1199996269,MTR819527617,Hyundai,SUV,2014
VEH00013,POL00013,EC4783,CHS2429665068,MTR478110313,Nissan,Hatchback,2025
VEH00014,POL00014,EC4759,CHS2865005559,MTR421020758,Mazda,Van,2014
VEH00015,POL00015,EC2691,CHS4006787353,MTR626546437,Kia,Hatchback,2021
VEH00016,POL00016,EC4177,CHS6828199825,MTR143329769,Chevrolet,Sedan,2015
VEH00017,POL00017,EC1650,CHS5164058360,MTR734102971,Nissan,Van,2014
VEH00018,POL00018,EC6087,CHS6193261754,MTR890429320,Kia,SUV,2017
VEH00019,POL00019,EC5872,CHS3949680260,MTR679835265,Chevrolet,Pickup,2016
VEH00020,POL00020,EC3099,CHS2038160553,MTR139369135,Mazda,Van,2020
VEH00021,POL00021,EC6549,CHS6519958990,MTR613934799,Nissan,Sedan,2025
VEH00022,POL00022,EC8089,CHS3421692349,MTR722893106,Kia,Sedan,2014
VEH00023,POL00023,EC2779,CHS3244945049,MTR747620406,Mazda,Pickup,2014
VEH00024,POL00024,EC5753,CHS5005248992,MTR368368931,Chevrolet,SUV,2023
VEH00025,POL00025,EC5376,CHS4283528340,MTR535710778,Mazda,Pickup,2017
VEH00026,POL00026,EC9949,CHS3986189281,MTR997346416,Kia,SUV,2021
VEH00027,POL00027,EC9122,CHS6560118112,MTR821978848,Hyundai,Van,2021
VEH00028,POL00028,EC6192,CHS4359127091,MTR660953547,Kia,Pickup,2014
VEH00029,POL00029,EC3434,CHS7148332448,MTR342340053,Nissan,Hatchback,2019
VEH00030,POL00030,EC6475,CHS4223647739,MTR143036147,Hyundai,Hatchback,2018
VEH00031,POL00031,EC3601,CHS5763505245,MTR695700315,Toyota,Van,2023
VEH00032,POL00032,EC6867,CHS5293323028,MTR180833053,Kia,Pickup,2023
VEH00033,POL00033,EC1973,CHS3131724899,MTR760771486,Mazda,SUV,2018
VEH00034,POL00034,EC9737,CHS6331742128,MTR194536561,Nissan,SUV,2018
VEH00035,POL00035,EC3304,CHS4787904136,MTR594490311,Kia,SUV,2020
VEH00036,POL00036,EC9258,CHS6361226510,MTR111048331,Chevrolet,Van,2018
VEH00037,POL00037,EC4777,CHS5215879211,MTR921711232,Nissan,Hatchback,2022
VEH00038,POL00038,EC1206,CHS6260347818,MTR955820836,Hyundai,SUV,2025
VEH00039,POL00039,EC9458,CHS7221254241,MTR176807304,Hyundai,Sedan,2015
VEH00040,POL00040,EC6311,CHS1460238189,MTR558801573,Mazda,SUV,2022
VEH00041,POL00041,EC5861,CHS6350921555,MTR323775396,Kia,SUV,2021
VEH00042,POL00042,EC6979,CHS6061846103,MTR156508240,Toyota,Hatchback,2023
VEH00043,POL00043,EC4354,CHS7029053440,MTR931463589,Hyundai,Hatchback,2018
VEH00044,POL00044,EC4312,CHS9528646321,MTR970085111,Chevrolet,Pickup,2022
VEH00045,POL00045,EC1478,CHS2534729942,MTR233221349,Kia,Sedan,2024
VEH00046,POL00046,EC4523,CHS7766460700,MTR161130047,Kia,Hatchback,2023
VEH00047,POL00047,EC2324,CHS6621464935,MTR793176801,Hyundai,Hatchback,2024
VEH00048,POL00048,EC5213,CHS2353853997,MTR253893730,Hyundai,SUV,2019
VEH00049,POL00049,EC2075,CHS4868527550,MTR401935708,Toyota,SUV,2016
VEH00050,POL00050,EC8673,CHS2443827147,MTR353430000,Kia,SUV,2023
VEH00051,POL00051,EC5916,CHS3960893550,MTR108395459,Toyota,Hatchback,2023
VEH00052,POL00052,EC3690,CHS2810395155,MTR965042202,Chevrolet,SUV,2021
VEH00053,POL00053,EC7195,CHS5385741474,MTR436396448,Kia,Van,2016
VEH00054,POL00054,EC7417,CHS5164334154,MTR746257963,Mazda,Hatchback,2025
VEH00055,POL00055,EC3613,CHS6467476284,MTR536769615,Kia,Hatchback,2015
VEH00056,POL00056,EC6619,CHS7042396898,MTR804495136,Hyundai,SUV,2018
VEH00057,POL00057,EC2808,CHS3554103237,MTR679031169,Toyota,Pickup,2022
