serie,categoria,unidad,valor,fuente
ramos_vulnerables_fraude,Vida,%,36,Eumed/OEL 2017: Analisis de los fraudes en el sistema asegurador en el Ecuador
ramos_vulnerables_fraude,Vehiculos,%,27,Eumed/OEL 2017: Analisis de los fraudes en el sistema asegurador en el Ecuador
ramos_vulnerables_fraude,Incendio,%,18,Eumed/OEL 2017: Analisis de los fraudes en el sistema asegurador en el Ecuador
ramos_vulnerables_fraude,Robo,%,9,Eumed/OEL 2017: Analisis de los fraudes en el sistema asegurador en el Ecuador
ramos_vulnerables_fraude,Transporte,%,9,Eumed/OEL 2017: Analisis de los fraudes en el sistema asegurador en el Ecuador
medios_deteccion_fraude,Quejas,%,36,Eumed/OEL 2017: Analisis de los fraudes en el sistema asegurador en el Ecuador
medios_deteccion_fraude,Informantes internos,%,27,Eumed/OEL 2017: Analisis de los fraudes en el sistema asegurador en el Ecuador
medios_deteccion_fraude,Informantes externos,%,27,Eumed/OEL 2017: Analisis de los fraudes en el sistema asegurador en el Ecuador
medios_deteccion_fraude,Casualidad,%,9,Eumed/OEL 2017: Analisis de los fraudes en el sistema asegurador en el Ecuador
primas_por_ramo_2025,Vida colectiva,USD millones,735.9,"Forbes Ecuador 2026, con datos Fedeseg: seguros con mayor prima neta 2025"
primas_por_ramo_2025,Vehiculos,USD millones,430.7,"Forbes Ecuador 2026, con datos Fedeseg: seguros con mayor prima neta 2025"
primas_por_ramo_2025,Incendios,USD millones,296.5,"Forbes Ecuador 2026, con datos Fedeseg: seguros con mayor prima neta 2025"
primas_por_ramo_2025,Asistencia medica,USD millones,154.2,"Forbes Ecuador 2026, con datos Fedeseg: seguros con mayor prima neta 2025"
primas_por_ramo_2025,Ramos tecnicos,USD millones,102.9,"Forbes Ecuador 2026, con datos Fedeseg: seguros con mayor prima neta 2025"
primas_por_ramo_2025,Accidentes personales,USD millones,90.8,"Forbes Ecuador 2026, con datos Fedeseg: seguros con mayor prima neta 2025"
primas_por_ramo_2025,Responsabilidad civil,USD millones,87.0,"Forbes Ecuador 2026, con datos Fedeseg: seguros con mayor prima neta 2025"
